paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
0.9158000000000001;0.9162;5.5291;5.5322;2023-02-01 10:08:17.93;Abertura
0.9152;0.9153;5.5321;5.5333;2023-02-01 11:06:16.863;Intermediário
0.9153;0.9159;5.5483;5.5526;2023-02-01 12:02:17.664;Intermediário
0.9141;0.9142;5.5511;5.5523;2023-02-01 13:04:22.992;Intermediário
0.9141;0.9142;5.5475;5.5487;2023-02-01 13:04:23.003;Fechamento
0.9087000000000001;0.9091;5.51;5.513;2023-02-02 10:06:16.639;Abertura
0.9103;0.9107000000000001;5.4573;5.4604;2023-02-02 11:10:16.843;Intermediário
0.912;0.9124;5.4649;5.468;2023-02-02 12:04:16.637;Intermediário
0.9098;0.9099;5.487;5.4882;2023-02-02 13:06:34.979;Intermediário
0.9098;0.9099;5.4836;5.4848;2023-02-02 13:06:34.991;Fechamento
0.9131;0.9135000000000001;5.5562000000000005;5.5593;2023-02-03 10:06:17.451;Abertura
0.923;0.9234;5.5205;5.5235;2023-02-03 11:08:17.024;Intermediário
0.923;0.9232;5.5422;5.5441;2023-02-03 12:10:17.398;Intermediário
0.9227000000000001;0.9228000000000001;5.5479;5.5491;2023-02-03 13:10:20.721;Intermediário
0.9227000000000001;0.9228000000000001;5.5293;5.5305;2023-02-03 13:10:20.729;Fechamento
0.9249;0.9251;5.5749;5.5767;2023-02-06 10:04:20.025;Abertura
0.9257000000000001;0.9262;5.5817;5.5854;2023-02-06 11:08:16.56;Intermediário
0.9275;0.9276000000000001;5.5938;5.595;2023-02-06 12:07:16.861;Intermediário
0.928;0.9284;5.587;5.5901;2023-02-06 13:09:36.674;Intermediário
0.928;0.9284;5.5749;5.5779;2023-02-06 13:09:36.686;Fechamento
0.9246000000000001;0.925;5.5523;5.5554;2023-02-07 10:10:17.1;Abertura
0.9255;0.9259000000000001;5.5824;5.5854;2023-02-07 11:05:16.382;Intermediário
0.9265;0.9269000000000001;5.5981000000000005;5.6012;2023-02-07 12:10:17.065;Intermediário
0.9235000000000001;0.9236000000000001;5.6105;5.6118;2023-02-07 13:10:17.638;Intermediário
0.9235000000000001;0.9236000000000001;5.5965;5.5977;2023-02-07 13:10:17.648;Fechamento
0.9202;0.9204;5.6385000000000005;5.6404;2023-02-08 10:08:17.152;Abertura
0.9195000000000001;0.9199;5.6465;5.6496;2023-02-08 11:11:16.667;Intermediário
0.9203;0.9205000000000001;5.6501;5.652;2023-02-08 12:07:16.983;Intermediário
0.9207000000000001;0.9209;5.6763;5.6782;2023-02-08 13:08:42.607;Intermediário
0.9207000000000001;0.9209;5.6499;5.6518;2023-02-08 13:08:42.613;Fechamento
0.918;0.9184;5.6744;5.6776;2023-02-09 10:04:16.94;Abertura
0.916;0.9164;5.6593;5.6624;2023-02-09 11:08:16.618;Intermediário
0.9179;0.9183;5.7286;5.7318;2023-02-09 12:09:16.714;Intermediário
0.9189;0.9193;5.7274;5.7305;2023-02-09 13:06:23.343;Intermediário
0.9189;0.9193;5.6901;5.6932;2023-02-09 13:06:23.349;Fechamento
0.9239;0.9243;5.6963;5.6994;2023-02-10 10:04:17.853;Abertura
0.9233;0.9234;5.6793;5.6806;2023-02-10 11:05:16.814;Intermediário
0.9241;0.9244;5.6876;5.6901;2023-02-10 12:15:10.379;Intermediário
0.9238000000000001;0.9242;5.671;5.6741;2023-02-10 13:11:17.987;Intermediário
0.9238000000000001;0.9242;5.6828;5.6859;2023-02-10 13:11:17.992;Fechamento
0.9212;0.9213;5.6394;5.6407;2023-02-13 10:12:46.313;Abertura
0.9228000000000001;0.9232;5.6401;5.6432;2023-02-13 11:02:16.826;Intermediário
0.9201;0.9205000000000001;5.605;5.6081;2023-02-13 12:10:19.446;Intermediário
0.9209;0.9213;5.611;5.6141;2023-02-13 13:07:17.905;Intermediário
0.9209;0.9213;5.6255;5.6286000000000005;2023-02-13 13:07:17.912;Fechamento
0.9172;0.9176000000000001;5.6199;5.623;2023-02-14 10:07:46.387;Abertura
0.9179;0.918;5.6004000000000005;5.6017;2023-02-14 11:06:16.681;Intermediário
0.9187000000000001;0.9191;5.6023;5.6054;2023-02-14 12:03:16.701;Intermediário
0.9221;0.9225000000000001;5.5861;5.5892;2023-02-14 13:04:31.509;Intermediário
0.9221;0.9225000000000001;5.5828;5.5858;2023-02-14 13:04:31.517;Fechamento
0.9227000000000001;0.9231;5.6574;5.6605;2023-02-15 10:11:16.644;Abertura
0.9243;0.9247000000000001;5.6451;5.6482;2023-02-15 11:03:16.119;Intermediário
0.925;0.9254;5.6462;5.6493;2023-02-15 12:04:16.913;Intermediário
0.9253;0.9257000000000001;5.6471;5.6502;2023-02-15 13:10:05.927;Intermediário
0.9253;0.9257000000000001;5.643;5.6461;2023-02-15 13:10:05.932;Fechamento
0.9228000000000001;0.9232;5.6745;5.6776;2023-02-16 10:05:18.252;Abertura
0.9249;0.9253;5.6679;5.671;2023-02-16 11:09:16.717;Intermediário
0.9261;0.9263;5.6665;5.6684;2023-02-16 12:07:17.604;Intermediário
0.9259000000000001;0.926;5.6568000000000005;5.6581;2023-02-16 13:07:19.153;Intermediário
0.9259000000000001;0.926;5.6616;5.6628;2023-02-16 13:07:19.16;Fechamento
0.932;0.9324;5.5956;5.5986;2023-02-17 10:07:16.443;Abertura
0.9299000000000001;0.9303;5.5974;5.6005;2023-02-17 11:05:17.65;Intermediário
0.9306000000000001;0.931;5.5729;5.5760000000000005;2023-02-17 12:11:16.639;Intermediário
0.9276000000000001;0.928;5.5919;5.595;2023-02-17 13:11:21.862;Intermediário
0.9276000000000001;0.928;5.6041;5.6072;2023-02-17 13:11:21.869;Fechamento
0.9296000000000001;0.9298000000000001;5.5743;5.5762;2023-02-22 14:32:19.049;Abertura
0.9294;0.9298000000000001;5.5515;5.5546;2023-02-22 15:39:24.519;Intermediário
0.9294;0.9298000000000001;5.5629;5.566;2023-02-22 15:39:24.527;Fechamento
0.9319000000000001;0.9323;5.5248;5.5278;2023-02-23 10:05:17.418;Abertura
0.9333;0.9337000000000001;5.4931;5.4961;2023-02-23 11:03:16.849;Intermediário
0.9323;0.9327000000000001;5.4939;5.4969;2023-02-23 12:07:17.567;Intermediário
0.9335;0.9336000000000001;5.4901;5.4914;2023-02-23 13:05:18.35;Intermediário
0.9335;0.9336000000000001;5.4974;5.4987;2023-02-23 13:05:18.359;Fechamento
0.9362;0.9363;5.5171;5.5184;2023-02-24 10:09:17.2;Abertura
0.937;0.9374;5.5195;5.5225;2023-02-24 11:03:04.414;Intermediário
0.9388000000000001;0.9389000000000001;5.5222999999999995;5.5235;2023-02-24 12:08:18.741;Intermediário
0.9396;0.9400000000000001;5.5206;5.5236;2023-02-24 13:10:55.21;Intermediário
0.9396;0.9400000000000001;5.509;5.5120000000000005;2023-02-24 13:10:55.215;Fechamento
0.9406;0.9410000000000001;5.5249;5.5279;2023-02-27 10:07:53.446;Abertura
0.9372;0.9376000000000001;5.5387;5.5417000000000005;2023-02-27 11:02:37.475;Intermediário
0.9374;0.9378000000000001;5.5383;5.5413;2023-02-27 12:10:17.225;Intermediário
0.9368000000000001;0.9372;5.5439;5.5469;2023-02-27 13:11:43.006;Intermediário
0.9368000000000001;0.9372;5.5435;5.5465;2023-02-27 13:11:43.013;Fechamento
0.9368000000000001;0.9369000000000001;5.5533;5.5545;2023-02-28 10:04:18.278;Abertura
0.9355;0.9358000000000001;5.5485;5.5509;2023-02-28 11:04:19.052;Intermediário
0.9351;0.9355;5.5756;5.5786999999999995;2023-02-28 12:11:16.604;Intermediário
0.9371;0.9375;5.5655;5.5686;2023-02-28 13:11:19.189;Intermediário
0.9371;0.9375;5.5543;5.5574;2023-02-28 13:11:19.197;Fechamento
0.935;0.9354;5.5615;5.5645;2023-03-01 10:11:17.26;Abertura
0.9377000000000001;0.9381;5.5492;5.5522;2023-03-01 11:04:45.169;Intermediário
0.9374;0.9378000000000001;5.5672;5.5702;2023-03-01 12:10:17.068;Intermediário
0.9390000000000001;0.9391;5.5336;5.5348;2023-03-01 13:07:21.391;Intermediário
0.9390000000000001;0.9391;5.5440000000000005;5.5453;2023-03-01 13:07:21.4;Fechamento
0.9419000000000001;0.9422;5.5207;5.5231;2023-03-02 10:06:16.918;Abertura
0.9428000000000001;0.9432;5.5281;5.5311;2023-03-02 11:04:17.314;Intermediário
0.9415;0.9419000000000001;5.533;5.536;2023-03-02 12:05:16.884;Intermediário
0.9414;0.9419000000000001;5.5232;5.5268;2023-03-02 13:09:37.92;Intermediário
0.9414;0.9419000000000001;5.5286;5.5322;2023-03-02 13:09:37.928;Fechamento
0.9384;0.9388000000000001;5.5397;5.5427;2023-03-03 10:04:16.639;Abertura
0.9376000000000001;0.9380000000000001;5.5342;5.5372;2023-03-03 11:08:17.173;Intermediário
0.9382;0.9387000000000001;5.5487;5.5523;2023-03-03 12:02:44.969;Intermediário
0.9394;0.9398000000000001;5.546;5.549;2023-03-03 13:04:25.955;Intermediário
0.9394;0.9398000000000001;5.5364;5.5394;2023-03-03 13:04:25.958;Fechamento
0.9343;0.9344;5.5683;5.5695;2023-03-06 10:09:19.311;Abertura
0.9342;0.9347000000000001;5.5746;5.5782;2023-03-06 11:11:17.091;Intermediário
0.9335;0.934;5.5676;5.5712;2023-03-06 12:06:17.667;Intermediário
0.932;0.9324;5.5468;5.5498;2023-03-06 13:06:23.935;Intermediário
0.932;0.9324;5.5731;5.5762;2023-03-06 13:06:23.946;Fechamento
0.9332;0.9333;5.5491;5.5504;2023-03-07 10:09:18.118;Abertura
0.9344;0.9346000000000001;5.5442;5.546;2023-03-07 11:07:17.068;Intermediário
0.9346000000000001;0.9348000000000001;5.5612;5.563;2023-03-07 12:08:16.928;Intermediário
0.9402;0.9406;5.5269;5.5299;2023-03-07 13:04:16.36;Intermediário
0.9402;0.9406;5.5172;5.5202;2023-03-07 13:04:16.368;Fechamento
0.9421;0.9425;5.4799;5.4829;2023-03-08 10:11:17.963;Abertura
0.9419000000000001;0.9422;5.4653;5.4677;2023-03-08 11:04:16.974;Intermediário
0.9416;0.9418000000000001;5.4364;5.4382;2023-03-08 12:10:18.944;Intermediário
0.9402;0.9406;5.4412;5.4442;2023-03-08 13:08:39.385;Intermediário
0.9402;0.9406;5.4626;5.4655000000000005;2023-03-08 13:08:39.391;Fechamento
0.9386;0.9387000000000001;5.4724;5.4736;2023-03-09 10:03:18.761;Abertura
0.9371;0.9375;5.4588;5.4617;2023-03-09 11:06:16.697;Intermediário
0.9366000000000001;0.937;5.4826;5.4856;2023-03-09 12:05:17.143;Intermediário
0.9368000000000001;0.9369000000000001;5.4936;5.4949;2023-03-09 13:07:27.949;Intermediário
0.9368000000000001;0.9369000000000001;5.4805;5.4817;2023-03-09 13:07:27.955;Fechamento
0.9264;0.9268000000000001;5.6068;5.6099;2023-03-10 10:07:17.261;Abertura
0.9253;0.9257000000000001;5.6084;5.6115;2023-03-10 11:08:16.791;Intermediário
0.9198000000000001;0.9202;5.6249;5.628;2023-03-10 12:03:16.162;Intermediário
0.919;0.9194;5.6146;5.6177;2023-03-10 13:04:39.309;Intermediário
0.919;0.9194;5.6358;5.639;2023-03-10 13:04:39.316;Fechamento
0.9099;0.9103;5.7892;5.7924;2023-03-13 10:08:21.415;Abertura
0.91;0.9104000000000001;5.7448;5.748;2023-03-13 11:09:17.323;Intermediário
0.9104000000000001;0.9105000000000001;5.7334;5.7347;2023-03-13 12:09:18.819;Intermediário
0.9118;0.9122;5.7413;5.7445;2023-03-13 13:07:19.828;Intermediário
0.9118;0.9122;5.7437000000000005;5.7469;2023-03-13 13:07:19.847;Fechamento
0.9108;0.9112;5.7395;5.7426;2023-03-14 10:03:16.781;Abertura
0.9155000000000001;0.9156000000000001;5.7065;5.7078;2023-03-14 11:11:16.875;Intermediário
