paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1.089;1.0894;5.5167;5.5193;2023-02-01 10:08:17.93;Abertura
1.0902;1.0906;5.5202;5.5229;2023-02-01 11:06:16.863;Intermediário
1.0902;1.0906;5.5401;5.5428;2023-02-01 12:02:17.664;Intermediário
1.0917;1.0921;5.5402000000000005;5.5428;2023-02-01 13:04:22.992;Intermediário
1.0917;1.0921;5.5366;5.5392;2023-02-01 13:04:23.003;Fechamento
1.0983;1.0985;5.5015;5.5032;2023-02-02 10:06:16.639;Abertura
1.0942;1.0946;5.4382;5.4408;2023-02-02 11:10:16.843;Intermediário
1.0904;1.0908;5.437;5.4396;2023-02-02 12:04:16.637;Intermediário
1.0937000000000001;1.0938;5.4604;5.4616;2023-02-02 13:06:34.979;Intermediário
1.0937000000000001;1.0938;5.457;5.4582;2023-02-02 13:06:34.991;Fechamento
1.093;1.0934;5.5476;5.5503;2023-02-03 10:06:17.451;Abertura
1.0835;1.0839;5.5232;5.5259;2023-02-03 11:08:17.024;Intermediário
1.0862;1.0866;5.5577;5.5603;2023-02-03 12:10:17.398;Intermediário
1.0856;1.086;5.5578;5.5605;2023-02-03 13:10:20.721;Intermediário
1.0856;1.086;5.5392;5.5419;2023-02-03 13:10:20.729;Fechamento
1.0772;1.0776;5.5554;5.5582;2023-02-06 10:04:20.025;Abertura
1.0756000000000001;1.076;5.5606;5.5634;2023-02-06 11:08:16.56;Intermediário
1.0742;1.0746;5.5738;5.5765;2023-02-06 12:07:16.861;Intermediário
1.0729;1.0733;5.5651;5.5679;2023-02-06 13:09:36.674;Intermediário
1.0729;1.0733;5.553;5.5557;2023-02-06 13:09:36.686;Fechamento
1.0702;1.0708;5.4964;5.5001999999999995;2023-02-07 10:10:17.1;Abertura
1.0695000000000001;1.0696;5.5279;5.5291;2023-02-07 11:05:16.382;Intermediário
1.068;1.0684;5.5417000000000005;5.5445;2023-02-07 12:10:17.065;Intermediário
1.0691;1.0692;5.54;5.5411;2023-02-07 13:10:17.638;Intermediário
1.0691;1.0692;5.5261;5.5272;2023-02-07 13:10:17.648;Fechamento
1.0732;1.0735999999999999;5.5696;5.5723;2023-02-08 10:08:17.152;Abertura
1.0731;1.0733;5.5739;5.5756;2023-02-08 11:11:16.667;Intermediário
1.0723;1.0727;5.5769;5.5796;2023-02-08 12:07:16.983;Intermediário
1.0722;1.0726;5.6047;5.6074;2023-02-08 13:08:42.607;Intermediário
1.0722;1.0726;5.5786999999999995;5.5814;2023-02-08 13:08:42.613;Fechamento
1.0769;1.077;5.6122;5.6133;2023-02-09 10:04:16.94;Abertura
1.0788;1.079;5.5949;5.5966000000000005;2023-02-09 11:08:16.618;Intermediário
1.0779;1.0783;5.6704;5.6732;2023-02-09 12:09:16.714;Intermediário
1.0761;1.0765;5.6659;5.6686;2023-02-09 13:06:23.343;Intermediário
1.0761;1.0765;5.629;5.6317;2023-02-09 13:06:23.349;Fechamento
1.0681;1.0685;5.6237;5.6264;2023-02-10 10:04:17.853;Abertura
1.0694;1.0695000000000001;5.6083;5.6094;2023-02-10 11:05:16.814;Intermediário
1.0697;1.0698;5.6241;5.6251999999999995;2023-02-10 12:15:10.379;Intermediário
1.0676;1.0677;5.5954;5.5966000000000005;2023-02-10 13:11:17.987;Intermediário
1.0676;1.0677;5.607;5.6082;2023-02-10 13:11:17.992;Fechamento
1.0689;1.0693;5.5536;5.5563;2023-02-13 10:12:46.313;Abertura
1.0679;1.0683;5.5604;5.5632;2023-02-13 11:02:16.826;Intermediário
1.0704;1.0708;5.5226;5.5253;2023-02-13 12:10:19.446;Intermediário
1.0719;1.0721;5.5411;5.5428;2023-02-13 13:07:17.905;Intermediário
1.0719;1.0721;5.5554;5.5571;2023-02-13 13:07:17.912;Fechamento
1.0757;1.0761;5.5472;5.5499;2023-02-14 10:07:46.387;Abertura
1.0759;1.0761;5.5314;5.5331;2023-02-14 11:06:16.681;Intermediário
1.0751;1.0755;5.5358;5.5385;2023-02-14 12:03:16.701;Intermediário
1.0714;1.0718;5.5211;5.5238;2023-02-14 13:04:31.509;Intermediário
1.0714;1.0718;5.5178;5.5205;2023-02-14 13:04:31.517;Fechamento
1.0697;1.0698;5.5863;5.5875;2023-02-15 10:11:16.644;Abertura
1.0681;1.0685;5.5755;5.5782;2023-02-15 11:03:16.119;Intermediário
1.0668;1.0672;5.574;5.5768;2023-02-15 12:04:16.913;Intermediário
1.0674;1.0678;5.5798;5.5826;2023-02-15 13:10:05.927;Intermediário
1.0674;1.0678;5.5758;5.5785;2023-02-15 13:10:05.932;Fechamento
1.0694;1.0696;5.6023;5.604;2023-02-16 10:05:18.252;Abertura
1.0679;1.0681;5.6006;5.6023;2023-02-16 11:09:16.717;Intermediário
1.0662;1.0663;5.5964;5.5975;2023-02-16 12:07:17.604;Intermediário
