paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1.2325;1.2328000000000001;6.2436;6.2459;2023-02-01 10:08:17.93;Abertura
1.2337;1.2341;6.2468;6.2496;2023-02-01 11:06:16.863;Intermediário
1.2339;1.2344;6.2703;6.2736;2023-02-01 12:02:17.664;Intermediário
1.2323;1.2328000000000001;6.2537;6.257;2023-02-01 13:04:22.992;Intermediário
1.2323;1.2328000000000001;6.2496;6.2529;2023-02-01 13:04:23.003;Fechamento
1.229;1.2295;6.1562;6.1594;2023-02-02 10:06:16.639;Abertura
1.23;1.2301;6.1131;6.1143;2023-02-02 11:10:16.843;Intermediário
1.2273;1.2275;6.1196;6.1213;2023-02-02 12:04:16.637;Intermediário
1.2291;1.2293;6.1364;6.1381;2023-02-02 13:06:34.979;Intermediário
1.2291;1.2293;6.1326;6.1343;2023-02-02 13:06:34.991;Fechamento
1.2243;1.2248;6.2141;6.2173;2023-02-03 10:06:17.451;Abertura
1.2123;1.2127;6.1798;6.1826;2023-02-03 11:08:17.024;Intermediário
1.21;1.2104;6.1911;6.1939;2023-02-03 12:10:17.398;Intermediário
1.2104;1.2105000000000001;6.1968;6.198;2023-02-03 13:10:20.721;Intermediário
1.2104;1.2105000000000001;6.1759;6.1772;2023-02-03 13:10:20.729;Fechamento
1.2067;1.2068;6.2233;6.2246;2023-02-06 10:04:20.025;Abertura
1.2047;1.2051;6.2281;6.2308;2023-02-06 11:08:16.56;Intermediário
1.2047;1.2049;6.2509;6.2527;2023-02-06 12:07:16.861;Intermediário
1.2011;1.2016;6.2301;6.2334;2023-02-06 13:09:36.674;Intermediário
1.2011;1.2016;6.2165;6.2198;2023-02-06 13:09:36.686;Fechamento
1.1985000000000001;1.1987;6.1554;6.1571;2023-02-07 10:10:17.1;Abertura
1.1978;1.1982;6.1911;6.1939;2023-02-07 11:05:16.382;Intermediário
1.1977;1.1978;6.2147;6.216;2023-02-07 12:10:17.065;Intermediário
1.2008;1.2012;6.2224;6.2252;2023-02-07 13:10:17.638;Intermediário
1.2008;1.2012;6.2068;6.2096;2023-02-07 13:10:17.648;Fechamento
1.2086999999999999;1.2091;6.2728;6.2756;2023-02-08 10:08:17.152;Abertura
1.2082;1.2086000000000001;6.2756;6.2784;2023-02-08 11:11:16.667;Intermediário
1.2067;1.207;6.2759;6.2782;2023-02-08 12:07:16.983;Intermediário
1.2079;1.208;6.3141;6.3153;2023-02-08 13:08:42.607;Intermediário
1.2079;1.208;6.2847;6.2859;2023-02-08 13:08:42.613;Fechamento
1.2159;1.2163;6.3365;6.3394;2023-02-09 10:04:16.94;Abertura
1.219;1.2194;6.322;6.3248;2023-02-09 11:08:16.618;Intermediário
1.2174;1.2179;6.4043;6.4076;2023-02-09 12:09:16.714;Intermediário
1.2169;1.217;6.4072;6.4085;2023-02-09 13:06:23.343;Intermediário
1.2169;1.217;6.3655;6.3667;2023-02-09 13:06:23.349;Fechamento
1.2091;1.2093;6.366;6.3678;2023-02-10 10:04:17.853;Abertura
1.2109;1.2113;6.3503;6.3531;2023-02-10 11:05:16.814;Intermediário
1.2102;1.2107;6.3627;6.3661;2023-02-10 12:15:10.379;Intermediário
1.2075;1.2076;6.3286;6.3299;2023-02-10 13:11:17.987;Intermediário
1.2075;1.2076;6.3418;6.343;2023-02-10 13:11:17.992;Fechamento
1.2105000000000001;1.2109;6.2893;6.2921;2023-02-13 10:12:46.313;Abertura
1.2086999999999999;1.2092;6.2936;6.2969;2023-02-13 11:02:16.826;Intermediário
1.2115;1.212;6.2506;6.2539;2023-02-13 12:10:19.446;Intermediário
1.2135;1.2139;6.2731;6.2759;2023-02-13 13:07:17.905;Intermediário
1.2135;1.2139;6.2893;6.2921;2023-02-13 13:07:17.912;Fechamento
1.221;1.2214;6.2965;6.2992;2023-02-14 10:07:46.387;Abertura
1.2207;1.2208;6.2759;6.2771;2023-02-14 11:06:16.681;Intermediário
1.2184;1.2188;6.2737;6.2765;2023-02-14 12:03:16.701;Intermediário
1.2154;1.2158;6.2632;6.266;2023-02-14 13:04:31.509;Intermediário
1.2154;1.2158;6.2594;6.2622;2023-02-14 13:04:31.517;Fechamento
1.2042;1.2046000000000001;6.2887;6.2915;2023-02-15 10:11:16.644;Abertura
1.2012;1.2016;6.2703;6.2731;2023-02-15 11:03:16.119;Intermediário
