paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1.0;1.0;5.0658;5.0664;2023-02-01 10:08:17.93;Abertura
1.0;1.0;5.0635;5.0641;2023-02-01 11:06:16.863;Intermediário
1.0;1.0;5.0817;5.0823;2023-02-01 12:02:17.664;Intermediário
1.0;1.0;5.0748;5.0754;2023-02-01 13:04:22.992;Intermediário
1.0;1.0;5.0715;5.0721;2023-02-01 13:04:23.003;Fechamento
1.0;1.0;5.0091;5.0097;2023-02-02 10:06:16.639;Abertura
1.0;1.0;4.97;4.9706;2023-02-02 11:10:16.843;Intermediário
1.0;1.0;4.9862;4.9868;2023-02-02 12:04:16.637;Intermediário
1.0;1.0;4.9926;4.9932;2023-02-02 13:06:34.979;Intermediário
1.0;1.0;4.9895;4.9901;2023-02-02 13:06:34.991;Fechamento
1.0;1.0;5.0756;5.0762;2023-02-03 10:06:17.451;Abertura
1.0;1.0;5.0976;5.0982;2023-02-03 11:08:17.024;Intermediário
1.0;1.0;5.1166;5.1172;2023-02-03 12:10:17.398;Intermediário
1.0;1.0;5.1196;5.1202;2023-02-03 13:10:20.721;Intermediário
1.0;1.0;5.1024;5.103;2023-02-03 13:10:20.729;Fechamento
1.0;1.0;5.1573;5.1579;2023-02-06 10:04:20.025;Abertura
1.0;1.0;5.1698;5.1704;2023-02-06 11:08:16.56;Intermediário
1.0;1.0;5.1888;5.1894;2023-02-06 12:07:16.861;Intermediário
1.0;1.0;5.187;5.1876;2023-02-06 13:09:36.674;Intermediário
1.0;1.0;5.1757;5.1763;2023-02-06 13:09:36.686;Fechamento
1.0;1.0;5.1359;5.1365;2023-02-07 10:10:17.1;Abertura
1.0;1.0;5.1687;5.1693;2023-02-07 11:05:16.382;Intermediário
1.0;1.0;5.1889;5.1895;2023-02-07 12:10:17.065;Intermediário
1.0;1.0;5.1819;5.1825;2023-02-07 13:10:17.638;Intermediário
1.0;1.0;5.1689;5.1695;2023-02-07 13:10:17.648;Fechamento
1.0;1.0;5.1897;5.1903;2023-02-08 10:08:17.152;Abertura
1.0;1.0;5.1942;5.1948;2023-02-08 11:11:16.667;Intermediário
1.0;1.0;5.2009;5.2015;2023-02-08 12:07:16.983;Intermediário
1.0;1.0;5.2273;5.2279;2023-02-08 13:08:42.607;Intermediário
1.0;1.0;5.203;5.2036;2023-02-08 13:08:42.613;Fechamento
1.0;1.0;5.2114;5.212;2023-02-09 10:04:16.94;Abertura
1.0;1.0;5.1862;5.1868;2023-02-09 11:08:16.618;Intermediário
1.0;1.0;5.2606;5.2612;2023-02-09 12:09:16.714;Intermediário
1.0;1.0;5.2652;5.2658000000000005;2023-02-09 13:06:23.343;Intermediário
1.0;1.0;5.2309;5.2315;2023-02-09 13:06:23.349;Fechamento
1.0;1.0;5.2651;5.2657;2023-02-10 10:04:17.853;Abertura
1.0;1.0;5.2443;5.2449;2023-02-10 11:05:16.814;Intermediário
1.0;1.0;5.2576;5.2582;2023-02-10 12:15:10.379;Intermediário
1.0;1.0;5.2411;5.2417;2023-02-10 13:11:17.987;Intermediário
1.0;1.0;5.252;5.2526;2023-02-10 13:11:17.992;Fechamento
1.0;1.0;5.1956;5.1962;2023-02-13 10:12:46.313;Abertura
1.0;1.0;5.2069;5.2075;2023-02-13 11:02:16.826;Intermediário
1.0;1.0;5.1594;5.16;2023-02-13 12:10:19.446;Intermediário
1.0;1.0;5.1693999999999996;5.17;2023-02-13 13:07:17.905;Intermediário
1.0;1.0;5.1828;5.1834;2023-02-13 13:07:17.912;Fechamento
1.0;1.0;5.1568;5.1574;2023-02-14 10:07:46.387;Abertura
1.0;1.0;5.1412;5.1418;2023-02-14 11:06:16.681;Intermediário
1.0;1.0;5.1491;5.1497;2023-02-14 12:03:16.701;Intermediário
1.0;1.0;5.1532;5.1538;2023-02-14 13:04:31.509;Intermediário
1.0;1.0;5.1501;5.1507;2023-02-14 13:04:31.517;Fechamento
1.0;1.0;5.2223;5.2229;2023-02-15 10:11:16.644;Abertura
